date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
2015-12-30,DD,48508722222,48957100929,48175463794,4.65543,4.71137,4.61385,8335784967,1958073862,5828773067,15,8
2016-12-30,DD,47536594118,47975987193,47210014281,2.16551,2.19153,2.14617,8168733549,910813508,5711962855,8,12
2017-12-30,DD,78948973333,79678719180,78406588181,1.96782,1.99147,1.95025,13566666673,827665093,9486451681,17,5
2018-12-30,DD,86747866667,87549699709,86151902554,2.45757,2.4871,2.43562,14906835922,1033653944,10423561077,9,5
2019-12-30,DD,21547101913,21746267367,21399071765,1.58641,1.60547,1.57224,3702674488,667244047,2589084221,8,8
2020-12-30,DD,20301482709,20489134581,20162010055,1.36626,1.38268,1.35406,3488626099,574648957,2439411516,11,10
2021-12-30,DD,16401799615,16661098141,16227774425,1.75616,1.80517,1.73982,7800422110,5354637322,1779558568,18,13
2022-12-30,DD,13030575292,13474371660,12665219444,1.3807,1.47573,1.31362,9370169517,6604451184,2017904423,18,20
2023-12-31,DD,12058000000,12166947595,11986955767,0.73859,0.74727,0.73293,2514313030,310249920,1521578386,5,8
2024-12-31,DD,12365626390,12425556727,12325672831,1.63566,1.64821,1.62311,2578458746,685668673,1560397233,9,11
2025-12-31,DD,6846290062,6908148316,6836280866,1.69341,1.72383,1.66299,1427576406,709877473,863921627,7,5
2026-12-31,DD,7118622569,7148743680,7078461087,2.29972,2.35015,2.19886,1484362704,953472498,898286800,11,8
2027-12-31,DD,7385222005,7405317847,7365126162,2.53944,2.57991,2.47874,1539953551,1060293042,931928527,9,7
2028-12-31,DD,7667850898,7670619604,7665082192,2.80744,3.01088,2.604,1598886832,1176878850.5,967592983,9,2
