date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-09-29,EMR,12545135294,15054162352,10036108235,1.29,1.54,1.04,1805109091,1140312121,2495157575,19,19
1998-09-29,EMR,13702400000,16442880000,10961920000,1.43,1.71,1.15,1954800000,1248700000,2721700000,15,15
1999-09-29,EMR,14291660526,17149992631,11433328421,1.53,1.84,1.22,2514670270,1327291892,2761816216,11,11
2000-09-29,EMR,16111283222,19333539866,12889026577,1.74,2.09,1.39,2943713997,1470378578,3091691516,10,10
2001-09-29,EMR,14748809677,17698571612,11799047741,1.39,1.67,1.11,2063870000,920610000,3030870000,14,14
2003-09-29,EMR,13863852657,16636623188,11091082126,1.23,1.48,0.98,1982808194,1062653878,2914424584,15,15
2004-09-29,EMR,15029682927,18035619512,12023746341,1.38,1.66,1.1,2336526160,1227967182,3160006191,9,9
2005-09-29,EMR,16655677946,19986813534,13324542357,1.67,2,1.34,2655469058,1418559090,3419938138,7,7
2006-09-29,EMR,19880461282,23856553538,15904369025,2.13,2.55,1.71,3258091285,1822254902,4071241443,12,12
2007-09-29,EMR,22094071366,26512885639,17675257092,2.59,3.1,2.08,3822156956,2180233894,4549194383,9,9
2008-09-29,EMR,23797646392,28557175670,19038117113,2.83,3.4,2.26,3955587705,2218777835,4869417756,18,18
2009-09-29,EMR,18816993835,22580392602,15053595068,2.03,2.45,1.61,3104448048,1565573877,4459876021,11,11
2010-09-29,EMR,21097209400,25316651280,16877767519,2.56,3.07,2.05,4098707114,2126295761,4905706621,12,12
2011-09-29,EMR,24048800351,28858560420,19239040281,3.11,3.73,2.49,4542281563,2369933855,5387423455,19,19
2012-09-29,EMR,24488378222,29386053866,19590702577,3.43,4.11,2.75,4214049285,2044960714,5445262143,13,13
2013-09-29,EMR,24460702963,29352843556,19568562370,3.49,4.19,2.79,4090970489,1971036763,5640220642,20,20
2014-09-29,EMR,24175172223,29010206667,19340137778,3.76,4.51,3.01,4430002611,2192148525,5592279038,19,19
2015-09-29,EMR,22308111538,22641398053,21988389301,3.21156,3.27394,3.15172,5120752024,2660539728,5109059563,9,8
2016-09-29,EMR,20270052381,20572889988,19979539825,2.91429,2.97089,2.85999,2728342855,1468038094,2797485713,10,11
2017-09-29,EMR,15300000000,15528584283,15080718766,2.6108,2.66151,2.56216,3039169803,1538702882,3642793557,17,16
2018-09-29,EMR,17423975000,17684291786,17174252729,3.37698,3.44257,3.31406,3285770729,1977602770,3836470048,9,8
2019-09-29,EMR,18438116444,18713584654,18173859390,3.63179,3.70233,3.56412,3591518124,2094612293,4397915681,5,7
2020-09-29,EMR,16689989703,16939340639,16450786988,3.29337,3.35733,3.23201,2736053466,1633883042,2980894428,10,9
2021-09-29,EMR,18377166425,18651724033,18113782913,4.06594,4.14491,3.99018,4325451227,2574425579,3910596432,6,6
2022-09-29,EMR,19572347168,19864760955,19291834198,5.10094,5.20001,5.0059,4714435387,2873934293,4183643494,5,7
2023-09-30,EMR,15909000000,16232379040,15585620960,3.43082,3.49745,3.3669,5185878924,1959000000,4602007841,7,7
2024-09-30,EMR,17445175701,17495161877,17405186759,5.4859,5.50592,5.46588,5519325429,3108859535,4833123738,14,16
2025-09-30,EMR,18061973558,18102022279,18041949197,6.00096,6.03096,5.98096,5714468668,3403577537.5,5004005386,14,17
2026-09-30,EMR,18936310533,19176010666,18746547927,6.50976,6.62009,6.36933,5991092440,3680552163,5246237328,19,17
2027-09-30,EMR,19952197207,20303999172,19670755634,7.18484,7.36648,7.0032,6312499874,4071648835,5527685110,19,17
2028-09-30,EMR,20997599976,21034967848,20960232104,7.89439,8.466,7.27847,6643245645,4461195582,5817310220,14,5
2029-09-30,EMR,22658398891,23033934650,22346666411,9.11519,9.31159,8.95216,7168691180,5165578182,6277428639,7,1
