date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,GD,3967560606,4761072727,3174048484,1.2,1.45,0.95,555900000,308104166,228984828,8,8
1998-12-30,GD,6376871415,7652245698,5101497131,1.33,1.6,1.06,888208944,501955557,170921658,9,9
2002-12-30,GD,14017450426,16820940511,11213960340,2.62,3.14,2.1,1685199653,923793403,413500000,15,15
2003-12-30,GD,15697219312,18836663174,12557775450,2.27,2.72,1.82,1567691311,953158595,264193548,13,13
2008-12-30,GD,27423744492,32908493390,21938995593,5.43,6.52,4.34,3749046065,2284997792,1582741145,14,14
2013-12-30,GD,28847538343,34617046011,23078030674,6.07,7.29,4.85,3820878270,2171429698,1925695589,8,8
2014-12-30,GD,29358861351,35230633622,23487089080,7.07,8.47,5.67,4042800436,2403220002,1890559770,16,16
2015-12-30,GD,31851675000,32487909294,31102682182,8.95783,9.19044,8.68399,4143586713,2485663466,1838295882,15,14
2016-12-30,GD,31413229412,32040705796,30674546651,9.78534,10.03944,9.48621,4086549295,2715285079,1812991319,14,15
2017-12-30,GD,31112700000,31734173336,30381084195,9.83553,10.09093,9.53486,4047453402,2729212051,1795646486,15,14
2018-12-30,GD,36152744444,36874892207,35302611886,11.1469,11.43636,10.80614,4703113150,3093097557,2086528926,15,14
2019-12-30,GD,39222457808,40005922815,38300140875,11.91211,12.22144,11.54796,5324114898,3372305469,2330000763,10,15
2020-12-30,GD,38227542075,38991133731,37328620607,11.05798,11.34513,10.71994,5157157320,3199226418,2237875972,7,14
2021-12-30,GD,38852918791,39629002290,37939291576,11.52597,11.82527,11.17363,5054379026,3198283796,2242367493,7,14
2022-12-30,GD,39250965077,40034999514,38327977795,12.16291,12.47875,11.7911,5429568419,3421904036,2433523029,8,15
2023-12-31,GD,44946000000,45526091505,44193719682,12.97287,13.19053,12.6906,5679964633,3545000000,2518365370,13,10
2024-12-31,GD,47188016256,47754988626,46819981559,13.57797,13.91593,12.91199,5963295141,3674083656.5,2643987586,14,15
2025-12-31,GD,51973795419,52043814004,51913779488,15.39929,15.60942,15.2492,6568088814,4210000000,2912139157,16,16
2026-12-31,GD,54751867962,55001967852,54571796041,16.36903,17.02971,15.90557,6919162408,4453897070,3067797095,17,15
2027-12-31,GD,57256852241,58051387868,55104565857,18.14587,18.64058,16.96847,7235724997,4893587960,3208153649,17,15
2028-12-31,GD,59657288176,59662850953,59651725399,19.52312,20.73308,18.35929,7539075489,5225349300,3342652263,18,15
2029-12-31,GD,61617666667,62412929538,60586345574,21.02,21.37268,20.56263,7786814565,5757378021,3452494058,11,10
2030-12-31,GD,63502500000,64322089303,62439631650,21.59,21.95224,21.12023,8025006766,5913501021,3558102989,9,6
