date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
2001-01-30,HD,44417250000,53300700000,35533800000,1.16,1.4,0.92,4954654278,2693565314,9007282657,8,8
2002-01-30,HD,48876809116,58652170939,39101447293,1.11,1.34,0.88,5099926486,2698494054,10306787027,18,18
2007-01-30,HD,80017593431,96021112117,64014074744,2.87,3.44,2.3,11338483971,6042978117,17612494838,8,8
2008-01-30,HD,80224749233,96269699079,64179799386,2.48,2.97,1.99,9273851882,4751991947,18576814783,10,10
2013-01-30,HD,68165106534,81798127841,54532085227,2.58,3.1,2.06,8524386940,4023281884,15025339420,10,10
2015-01-30,HD,82690714815,84660780192,80650862114,4.49823,4.63755,4.35398,13649794203,4466742394,14463517087,5,4
2016-01-30,HD,87938179167,90033262787,85768879594,5.36432,5.53046,5.19229,14515995549,5326769765,15381356417,4,5
2017-01-30,HD,94175533333,96419218830,91852367830,6.3489,6.54554,6.1453,15545598461,6304457706,16472338382,5,4
2018-01-30,HD,100679551724,103078192242,98195942095,7.37642,7.60488,7.13987,16023363064,8342790934,17049159685,5,4
2019-01-30,HD,108262724138,110842029988,105592049313,9.80164,10.10521,9.48731,16412897226,9856029498,17838569803,10,12
2020-01-30,HD,110211491888,112837226166,107492743962,10.07705,10.38915,9.75389,18192661491,10006510660,19277204214,17,11
2021-01-30,HD,130384710775,133491062014,127168320578,11.90627,12.27503,11.52445,21522663981,11822926121,22805722461,11,11
2022-01-30,HD,150030594774,153604999482,146329570848,15.48647,15.96611,14.98983,24765619059,15378064725,26242004026,18,12
2023-01-30,HD,157432252520,158710378780,156154126260,16.66108,17.1771,16.12678,22066987622,16233000000,23171804617,11,11
2024-02-01,HD,152089000000,154161957185,149711123042,14.90616,15.17028,14.60319,24792087422,14772000000,26644035491,17,10
2025-02-01,HD,158861700545,159132129011,158691430769,15.12021,15.23021,15.00021,25896107989,15069864385,27830525465,23,22
2026-02-01,HD,164600726039,165370589120,164230791831,14.49009,14.62999,14.42014,26831628781,14481489819,28835928873,22,24
2027-02-01,HD,171154243653,172164386737,169163961733,15.04878,15.28908,14.51812,27899920253,14650524180,29984020819,26,22
2028-02-01,HD,178353520992,181432373388,175584553089,16.29763,16.82593,15.94875,29073477270,16338177995.5,31245241557,25,22
2029-02-01,HD,186525905154,186700087511,186351722797,17.78154,19.1293,16.89996,30405660811,17146752670,32676938088,18,10
2030-02-01,HD,192970605673,195600774873,189953554100,19.16735,19.50697,18.77777,31456213965,19109847969,33805966679,17,4
2031-02-01,HD,196477450000,199155417122,193405569713,19.875,20.22716,19.47104,32027866031,19815375019,34420320674,8,5
