date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,IBM,77206255008,92647506009,61765004007,2.99,3.58,2.4,13792026390,5992118114,16353876550,15,15
1998-12-30,IBM,77958970898,93550765078,62367176717,3.22,3.87,2.57,13825865039,6231418386,16424478026,9,9
1999-12-30,IBM,83138336483,99766003780,66510669186,3.35,4.02,2.68,17433610230,7324445598,13891093562,17,17
2000-12-30,IBM,85654025419,102784830502,68523220335,4.19,5.04,3.34,15999957842,7842592863,15109963842,17,17
2001-12-30,IBM,81919993736,98303992483,65535994988,4.24,5.09,3.39,15410010660,7544994471,16836249040,13,13
2002-12-30,IBM,78513068770,94215682524,62810455016,3.64,4.37,2.91,9820878405,3502597479,18093756573,9,9
2003-12-30,IBM,88566016989,106279220386,70852813591,4.26,5.11,3.41,15416514183,7509337959,17755237704,20,20
2004-12-30,IBM,93907682886,112689219463,75126146309,4.83,5.8,3.86,16521525546,8225267942,18937287337,14,14
2005-12-30,IBM,86502677674,103803213209,69202142138,4.66,5.59,3.73,16303933370,7398393078,20027244765,12,12
2006-12-30,IBM,88307653265,105969183918,70646122611,5.67,6.8,4.54,17984883010,9149782303,19530437721,15,15
2007-12-30,IBM,96929857380,116315828856,77543885904,6.87,8.24,5.5,19862957787,10179784601,21643828258,15,15
2008-12-30,IBM,96187550361,115425060434,76950040288,7.7,9.24,6.16,21058597109,11378974319,21521071925,11,11
2009-12-30,IBM,91135042251,109362050701,72908033800,9.05,10.85,7.25,22278212425,12715405002,19422166182,11,11
2010-12-30,IBM,97836526662,117403831995,78269221329,11.1,13.33,8.87,24399059734,14519516767,21098525641,8,8
2011-12-30,IBM,104233164053,125079796864,83386531241,12.85,15.42,10.28,25609072138,15468037242,22601270272,15,15
2012-12-30,IBM,101862619317,122235143181,81490095453,14.56,17.47,11.65,26357716937,16185321408,22568969443,7,7
2013-12-30,IBM,97088442180,116506130616,77670753744,16.51,19.82,13.2,24245012475,16237758648,22645903300,9,9
2014-12-30,IBM,95840221099,115008265319,76672176878,16.85,20.21,13.49,20916999835,11665425798,22976450517,15,15
2015-12-30,IBM,81781719048,82815018752,81177122783,14.25899,14.4932,14.12195,19756133012,12978249012,19525279805,7,6
2016-12-30,IBM,79696238095,80703188062,79107059383,12.86678,13.07812,12.74312,16717163677,11396671432,19431699944,6,7
2017-12-30,IBM,78642105000,79635736154,78060719288,13.19184,13.40852,13.06506,16166954760,5519410359,19030891912,11,10
2018-12-30,IBM,79619304762,80625282687,79030694803,13.15935,13.3755,13.03288,16378572561,8638481879,18661541811,7,6
2019-12-30,IBM,77004779275,77977723065,76435497992,12.22221,12.42296,12.10475,17321586318,9298344108,19468685420,4,7
2020-12-30,IBM,73946126926,74880425104,73399457662,8.06835,8.20088,7.99081,11961785554,5284500889,20399676652,6,10
2021-12-30,IBM,70068169807,70953470581,69550169522,9.37734,9.53137,9.28722,12983251749,5568491015,16870276145,7,5
2022-12-30,IBM,60042856937,60801489392,59598971831,9.1299,9.27986,9.04216,13688696586,6240558937,17467635334,7,7
2023-12-31,IBM,62363000000,63003276914,61537364510,9.17236,9.29478,9.0145,12751567717,8685006977,18989313161,9,8
2024-12-31,IBM,62768808778,62858893179,62618668109,10.198,10.24829,10.15777,12834544772,9679614571,19112880500,11,11
2025-12-31,IBM,67038078026,67188051354,66908101140,11.36433,11.42425,11.29443,13707496297,10776605869,20412857902,16,12
2026-12-31,IBM,71179933063,71399685873,70870281375,12.39338,12.71218,12.15428,14554395018,11795405313,21674038127,15,11
2027-12-31,IBM,74442653736,75630462236,72765747618,13.36632,14.15669,12.88609,15221534245,12827742706,22667525044,15,11
2028-12-31,IBM,78305146263,78384539366,78225753159,14.64995,15.91815,13.3449,16011310796,12716523460,23843640372,11,5
2029-12-31,IBM,80588492800,81415889678,79521566582,14.20005,14.38958,13.95565,16478194172,13471587449,24538911325,5,1
2030-12-31,IBM,82866000000,83716779898,81768921436,13.27,13.44711,13.04161,16943883560,12589249013,25232404220,5,1
