date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,JPM,21978359707,26374031648,17582687765,2.67,3.21,2.13,20177917488,3653288330,5354678523,18,18
1998-12-30,JPM,22735056292,27282067551,18188045033,2.67,3.2,2.14,19515190427,3534281157,5511534819,20,20
1999-12-30,JPM,23704755354,28445706425,18963804283,2.83,3.39,2.27,17015012059,4297304117,5773143239,11,11
2001-12-30,JPM,32050717899,38460861479,25640574319,2.29,2.75,1.83,28351866570,1477007641,13742683540,17,17
2002-12-30,JPM,29625987448,35551184937,23700789958,1.14,1.41,0.87,19110451764,1597028827,11429033306,17,17
2003-12-30,JPM,27240744089,32688892906,21792595270,2.13,2.56,1.7,18592904918,5244846739,9515213741,12,12
2004-12-30,JPM,46083787423,55300544906,36867029938,3.23,3.87,2.59,25299916279,4734555549,16829291667,11,11
2005-12-30,JPM,50810148314,60972177976,40648118651,2.59,3.1,2.08,39283652928,7915434479,21100542118,16,16
2006-12-30,JPM,56298829981,67558595977,45039063984,3.18,3.81,2.55,56180279328,12985354264,21267602714,13,13
2007-12-30,JPM,65158784786,78190541743,52127027828,3.49,4.2,2.78,63562953826,13367328098,21955660093,19,19
2009-12-30,JPM,59657321121,71588785345,47725856896,1.14,1.38,0.9,57736359016,18099459836,50917103467,15,15
2010-12-30,JPM,91500672428,109800806914,73200537942,2.82,3.39,2.25,37492781238,15301211735,26843097985,13,13
2011-12-30,JPM,91041705172,109250046207,72833364137,3.89,4.67,3.11,42211429587,17616852228,29562510392,9,9
2012-12-30,JPM,78853100043,94623720052,63082480033,3.345,4.02,2.67,34655926578,16491243707,24886639454,9,9
2013-12-30,JPM,86761827062,104114192474,69409461649,4.69,5.63,3.75,36346233206,16147512860,29079792349,19,19
2014-12-30,JPM,97068896378,116482675653,77655117102,5.47,6.56,4.38,42856803592,21957784490,33160678391,13,13
2015-12-30,JPM,96241150000,97481829238,95306846224,5.92459,6.02388,5.84982,39098808597,21950084917,29337120331,9,8
2016-12-30,JPM,97548288000,98805818023,96601294600,5.8987,5.99755,5.82426,43782132559,21697884653,28989314087,11,12
2017-12-30,JPM,102900785714,104227316708,101901830562,6.87729,6.99254,6.7905,51453213726,22197740170,30965492356,6,5
2018-12-30,JPM,110702272727,112129375493,109627581169,9.22593,9.38055,9.1095,70724785831,32239289046,36251593190,6,5
2019-12-30,JPM,115939818336,117434440184,114814280974,10.49653,10.67244,10.36406,71285233819,32373731580,33541301842,6,5
2020-12-30,JPM,120271998401,121822467938,119104404474,7.73157,7.86114,7.634,42896129084,21127964046,32127770044,11,5
2021-12-30,JPM,123127405148,124714684759,121932091090,15.0394,15.29144,14.8496,54604613189,36050942556,31327269499,6,6
2022-12-30,JPM,129882385997,131556746493,128621494957,11.62034,11.81508,11.47369,58816291308,37296286589,41465704592,6,8
2023-12-31,JPM,160995000000,164869196617,156968025455,17.94337,18.5047,17.35991,56882537392,50097480496,40626376990,5,10
2024-12-31,JPM,175776842855,177009344945,174634523844,18.58794,19.01976,18.25426,62105238276,52066214855.5,44356509729,9,12
2025-12-31,JPM,183543557830,185212501223,181703698546,20.19756,20.29671,20.12815,64849363591,56467465711,46316405941,8,9
2026-12-31,JPM,194885879965,199467868028,191414065220,21.54602,22.39913,20.21675,68856817629,57991827860,49178590822,11,15
2027-12-31,JPM,203640109235,209329290156,196424314470,23.27949,25.30857,21.83014,71949850169,65845707086.5,51387681903,10,15
2028-12-31,JPM,214824308093,217327662524,212320953661,25.69129,27.24309,24.90228,75901436304,72839260110,54209965075,5,8
