date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,LLY,8474799533,10169759440,6779839626,1.59,1.92,1.26,1000820357,-396444644,2304184643,11,11
1998-12-30,LLY,8466254591,10159505509,6773003672,1.87,2.24,1.5,3090682222,2054522535,2603742983,9,9
1999-12-30,LLY,9957869230,11949443076,7966295384,2.26,2.71,1.81,3842713725,2709698039,2744862745,18,18
2000-12-30,LLY,10741411891,12889694269,8593129513,2.59,3.11,2.07,4240910574,3018975354,3192476119,12,12
2001-12-30,LLY,11424756188,13709707425,9139804950,2.7,3.23,2.17,3929659200,2746577674,3382545501,15,15
2002-12-30,LLY,11077500000,13293000000,8862000000,2.55,3.07,2.03,3950700000,2707900000,3424000000,16,16
2003-12-30,LLY,12247385860,14696863032,9797908688,2.44,2.92,1.96,3708380804,2493601608,3938544942,19,19
2004-12-30,LLY,13568144957,16281773949,10854515965,2.7,3.24,2.16,3467638954,1774759883,4190882141,13,13
2005-12-30,LLY,14344310916,17213173099,11475448732,2.76,3.31,2.21,3326453585,1916937219,4403288813,9,9
2006-12-30,LLY,15345498653,18414598384,12276398922,3.04,3.66,2.42,4138570065,2613580193,4779694145,15,15
2007-12-30,LLY,17711022178,21253226614,14168817742,3.19,3.84,2.54,4666338739,2803873827,5774068267,12,12
2008-12-30,LLY,20435489131,24522586957,16348391304,4.04,4.85,3.23,-57306721,-1939705326,6642780292,13,13
2009-12-30,LLY,19711114560,23653337471,15768891648,3.47,4.17,2.77,6059220536,3780435204,6121567527,14,14
2010-12-30,LLY,21718912874,26062695449,17375130299,4.16,4.99,3.33,7494490237,4728440789,6606065887,12,12
2011-12-30,LLY,23539860845,28247833014,18831888675,4.16,5,3.32,6705244159,4220956124,7615033618,19,19
2012-12-30,LLY,21131052572,25357263086,16904842058,2.93,3.51,2.35,6592009033,3824839339,6938648137,10,10
2013-12-30,LLY,21488909347,25786691217,17191127477,3.51,4.21,2.81,6856519879,4278144400,6573964769,15,15
2014-12-30,LLY,19403441667,23284130001,15522753333,2.73,3.28,2.18,4470408715,2358327254,6544638358,8,8
2015-12-30,LLY,19904763158,20985053834,18666917190,3.43666,3.67913,3.15882,3765078918,2072940272,5712015225,7,6
2016-12-30,LLY,20940485000,22076987380,19638229116,3.54178,3.79167,3.25544,5236215139,2836415156,6671928978,6,7
2017-12-30,LLY,22644730000,23873726823,21236489796,4.21622,4.51369,3.87536,3812118845,-161784689,6791761300,7,6
2018-12-30,LLY,24417600000,25742815749,22899107794,5.57264,5.96582,5.12212,5197158170,3020078399,6064616083,7,6
2019-12-30,LLY,22143863557,23345676869,20766771450,5.81405,6.22426,5.34401,10063169112,7938984112,5831218061,6,5
2020-12-30,LLY,24375378821,25698303101,22859512284,7.36953,7.88949,6.77374,7794544583,5389121802,6565732252,11,4
2021-12-30,LLY,28041265653,29563148511,26297423370,8.13166,8.70539,7.47426,8303892857,5763223053,6654275815,7,4
2022-12-30,LLY,28590039679,30141706135,26812070001,7.63638,8.17516,7.01902,8027174948,5978657397,6905248717,6,5
2023-12-31,LLY,38922800000,41622965691,36630310307,8.1541,8.88947,7.52976,12495878034,7342200000,7657157027,13,7
2024-12-31,LLY,45102064996,45402478395,45021954756,12.8326,13.38616,12.44007,14479685513,11596003108.5,8872783919,14,17
2025-12-31,LLY,63860910323,64926263878,62162374936,23.58994,24.36501,23.02354,20502074531,21277506362,12563151116,21,15
2026-12-31,LLY,81689318141,83174397253,78739093864,34.42993,37.40324,30.4588,26225753446,30391572210,16070476340,19,17
2027-12-31,LLY,94819755957,102572505086,85300429877,42.01685,45.03524,36.45137,30441183720,36201153100,18653585063,21,17
2028-12-31,LLY,106375821790,106647277495,106104366085,49.20702,55.84862,42.80604,34151173474,42852037420,20926972658,22,9
2029-12-31,LLY,117166704062,125294832422,110265775521,55.39616,60.39201,51.15459,37615506687,49745862527,23049828158,15,3
2030-12-31,LLY,126591904462,135373881023,119135846928,60.97049,66.46906,56.30211,40641397801,54751622021,24904017463,11,3
