date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1998-04-29,MDT,2441719998,2930063998,1953375998,0.58,0.7,0.46,938873332,544733333,748266665,10,10
1999-04-29,MDT,2737462500,3284955000,2189970000,0.67,0.79,0.55,858950000,463256250,775500000,7,7
2000-04-29,MDT,4423300000,5307960000,3538640000,0.82,0.98,0.66,1282600000,629400000,1410600000,18,18
2001-04-29,MDT,5362300000,6434760000,4289840000,1,1.2,0.8,2007000000,1188500000,1658900000,12,12
2002-04-29,MDT,5852485185,7022982222,4681988148,1.11,1.33,0.89,1589759259,809833333,1769725926,10,10
2003-04-29,MDT,6988800000,8386560000,5591040000,1.3,1.56,1.04,2301700000,1300800000,2173500000,7,7
2004-04-29,MDT,8288300000,9945960000,6630640000,1.51,1.81,1.21,3056200000,1841300000,2626800000,11,11
2005-04-29,MDT,9542541930,11451050316,7634033544,1.73,2.08,1.38,3401208502,2085369661,3008059903,18,18
2006-04-29,MDT,10709593877,12851512652,8567675101,2.01,2.42,1.6,2795063265,1869057143,3439491837,19,19
2007-04-29,MDT,11589819707,13907783649,9271855765,2.23,2.68,1.78,4108871957,2642025263,3820077778,20,20
2008-04-29,MDT,12098160493,14517792592,9678528393,2.29,2.75,1.83,3961016009,2750103049,4134710113,11,11
2009-04-29,MDT,14204973418,17045968101,11363978734,2.68,3.22,2.14,3372910874,2149481229,4970441193,8,8
2010-04-29,MDT,14838068041,17805681649,11870454433,2.99,3.58,2.4,3484091515,2112777110,5105707097,20,20
2011-04-29,MDT,15528780123,18634536147,12423024098,3.21,3.85,2.57,5249669058,3141396316,5713490399,16,16
2012-04-29,MDT,16335279552,19602335463,13068223641,3.35,4.02,2.68,5200574356,3365625663,5217634448,8,8
2013-04-29,MDT,16274153061,19528983672,13019322448,3.54,4.25,2.83,5367683673,3425887755,5640081633,10,10
2014-04-29,MDT,16325787708,19590945249,13060630166,3.62,4.35,2.89,5663101067,3714409122,5582988293,16,16
2015-04-29,MDT,28240000000,28498092507,28054265958,4.321,4.37234,4.28406,4763836956,2899532608,5989630434,14,13
2016-04-29,MDT,28728508696,28991065807,28539561740,4.36782,4.41971,4.33047,6589255693,2252037574,8418854598,13,14
2017-04-29,MDT,29675517391,29946729454,29480341974,4.57896,4.63336,4.53981,8623091008,4204804946,9432424867,14,13
2018-04-29,MDT,29697271429,29968682308,29501952936,4.72873,4.78491,4.6883,8834941217,4768983553,9414704160,14,13
2019-04-29,MDT,30519601900,30798528265,30318874952,5.14994,5.21113,5.10591,6152909706,2103511534,9898977266,13,14
2020-04-29,MDT,29684668119,29955963813,29489432518,4.97976,5.03892,4.93718,8930122461,4471476099,9915747645,10,12
2021-04-29,MDT,30056825890,30331522828,29859142613,4.35567,4.40742,4.31843,6581439513,3563989130,10207533503,10,10
2022-04-29,MDT,32021618529,32314272204,31811012841,5.65951,5.72675,5.61112,7805261160,4390260486,9604477597,12,11
2023-04-29,MDT,30936295345,31247147672,30625443017,5.27206,5.3347,5.22698,9011558203,3620000000,10597320561,17,20
2024-04-30,MDT,32221012266,32710075669,32090475416,5.19666,5.29624,5.0079,9273344875,6645655098,10636222596,32,32
2025-04-30,MDT,33512202583,33592088643,33412345006,5.45728,5.47731,5.44727,9644954960,7045807876,11062447182,20,22
2026-04-30,MDT,36159991965,36240058374,36029884050,5.64975,5.71028,5.56904,10407000047,7274597439,11936487918,16,8
2027-04-30,MDT,38641038569,39296142248,37391302318,6.08325,6.24307,5.99335,11121055851,7891879084.5,12755486518,22,15
2028-04-30,MDT,40640982666,40799046229,40482919103,6.53104,7.15481,5.84352,11696648299,8383272939.5,13415672189,23,9
2029-04-30,MDT,43267137050,43904879797,42058226653,7.14479,7.2817,6.88527,12452466742,9216064628,14282571167,14,3
2030-04-30,MDT,45555000000,46226465062,44282165306,7.77,7.91889,7.48777,13110923465,10022523007,15037799445,11,3
