date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,MMM,15004248711,18005098453,12003398968,1.97,2.36,1.58,4198739538,2102762251,3798308988,16,16
1998-12-30,MMM,14655551870,17586662244,11724441496,1.81,2.17,1.45,2664941304,1150392391,3689486522,15,15
1999-12-30,MMM,14757069102,17708482923,11805655281,1.88,2.26,1.5,3475218553,1657799308,3644954494,8,8
2000-12-30,MMM,16710726807,20052872168,13368581445,2.32,2.78,1.86,3798462125,1761232191,3924991062,13,13
2001-12-30,MMM,16061000000,19273200000,12848800000,2.18,2.62,1.74,3221000000,1430000000,4061000000,11,11
2002-12-30,MMM,16017926766,19221512120,12814341412,2.54,3.05,2.03,3817501517,1936077349,3645932665,13,13
2003-12-30,MMM,17702577505,21243093006,14162062003,2.91,3.49,2.33,4185997619,2329354213,3920113215,11,11
2004-12-30,MMM,19840246355,23808295626,15872197084,3.69,4.43,2.95,5186493996,2964959527,4293323040,12,12
2005-12-30,MMM,20917632851,25101159421,16734106280,4.16,4.99,3.33,5558940744,3159795551,4480347102,10,10
2006-12-30,MMM,22847793982,27417352778,18278235185,4.45,5.34,3.56,6278891554,3845180529,5054877885,8,8
2007-12-30,MMM,23318013960,27981616751,18654411168,4.51,5.41,3.61,6419662911,3839668487,4746558821,17,17
2008-12-30,MMM,24522664288,29427197145,19618131430,4.86,5.83,3.89,5723622563,3358266042,5082365299,12,12
2009-12-30,MMM,20870100773,25044120927,16696080618,3.68,4.41,2.95,4909442985,2773406611,4331954694,19,19
2010-12-30,MMM,25395968689,30475162427,20316774950,5.19,6.22,4.16,6335988733,3871564901,5187122024,8,8
2011-12-30,MMM,29601534457,35521841349,23681227565,5.96,7.15,4.77,6135380867,4277155381,6156049103,14,14
2012-12-30,MMM,29215645132,35058774158,23372516105,6.05,7.26,4.84,7548354483,4331222574,5946913890,20,20
2013-12-30,MMM,30881915532,37058298638,24705532425,6.72,8.06,5.38,8016301771,4658242805,6385467766,16,16
2014-12-30,MMM,31739910274,38087892329,25391928218,7.45,8.94,5.96,8511246371,4942859636,6452915192,8,8
2015-12-30,MMM,30213892857,30689800242,29831296465,6.32302,6.45249,6.21893,8372021614,4818195187,6164772266,7,6
2016-12-30,MMM,30127773333,30602324225,29746267466,6.81595,6.95552,6.70375,8540246293,4945048408,5987055244,6,7
2017-12-30,MMM,31497446154,31993571142,31098596217,7.56873,7.72371,7.44414,9025224579,4667836892,6275304079,7,6
2018-12-30,MMM,32709235714,33224447935,32295040971,8.3192,8.48955,8.18225,8891115612,5392656418,7568068392,7,6
2019-12-30,MMM,32131950356,32638069595,31725065737,7.55692,7.71166,7.43252,7697808008,4538767359,6997286047,1,2
2020-12-30,MMM,32001231426,32505291675,31596002091,7.11287,7.25852,6.99578,8598884905,5060716106,6457165425,2,1
2021-12-30,MMM,35336611497,35893208240,34889146480,8.20671,8.37476,8.07161,8076839128,4972848667,5806875583,1,1
2022-12-30,MMM,34191245680,34729801450,33758284350,8.51297,8.68729,8.37283,6798359557,3818969431,7824547621,1,2
2023-12-31,MMM,32614000000,33178154546,32191819069,2.56651,2.62422,2.52332,4515585099,1387262032,6323169589,5,4
2024-12-31,MMM,23601578669,23621571535,23581585802,7.29369,7.32375,7.21354,3267766510,3939000000,4575850386,9,10
2025-12-31,MMM,24239799991,24299577549,24160096579,8.03243,8.08232,7.97256,3356131712,4326790167.5,4699588095,9,9
2026-12-31,MMM,25178195029,25785498270,24979079212,8.66828,8.70832,8.59821,3486057592,4664109843,4881523184,10,10
2027-12-31,MMM,26014628466,26753623670,25515307382,9.43624,9.81045,9.19351,3601866336,5121567229,5043690059,10,10
2028-12-31,MMM,26879409969,26946733723,26812086214,10.15824,11.35397,8.83087,3721600023,4887960000,5211353029,4,3
2029-12-31,MMM,27781000000,28261553671,27421381173,11.43,11.68703,11.23765,3846430050,6160770011,5386152399,3,1
2030-12-31,MMM,28614000000,29108962843,28243598174,12.42,12.69929,12.21099,3961763416,6694380012,5547653603,3,1
