date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1998-05-30,ORCL,6467085675,7760502810,5173668540,0.15,0.18,0.12,1519013600,768004050,2375150000,19,19
1999-05-30,ORCL,7050285831,8460342997,5640228664,0.13,0.16,0.1,1623025082,879629499,2351897332,19,19
2000-05-30,ORCL,8937468418,10724962102,7149974734,0.195,0.23,0.16,2273248670,1245248940,2753343455,10,10
2001-05-30,ORCL,8604845636,10325814763,6883876508,0.275,0.33,0.22,8555841728,5159803479,2324105096,18,18
2002-05-30,ORCL,10024240803,12029088963,8019392642,0.4,0.48,0.32,3982529143,2372821268,2874311196,10,10
2003-05-30,ORCL,8359323833,10031188599,6687459066,0.32,0.38,0.26,3059148833,1798821666,2239430999,12,12
2004-05-30,ORCL,8846637661,10615965193,7077310128,0.39,0.47,0.31,3592315583,2250237662,2484646753,15,15
2005-05-30,ORCL,9745285712,11694342854,7796228569,0.49,0.58,0.4,4133936506,2721015872,2326412697,12,12
2006-05-30,ORCL,12185507245,14622608694,9748405796,0.67,0.81,0.53,4447362318,2709695651,3187907245,18,18
2007-05-30,ORCL,15314980842,18377977010,12251984673,0.8,0.95,0.65,5973422618,3529321428,3932013889,16,16
2008-05-30,ORCL,18524440948,22229329138,14819552758,0.97,1.17,0.77,7308433263,4365479732,4644631100,18,18
2009-05-30,ORCL,22696280998,27235537197,18157024798,1.3,1.56,1.04,9458158248,5531335858,5437688552,7,7
2010-05-30,ORCL,22009680267,26411616320,17607744213,1.34,1.61,1.07,9919548295,5469951704,5192520833,16,16
2011-05-30,ORCL,29139505896,34967407076,23311604716,1.57,1.88,1.26,11329377527,6093345735,6138594985,17,17
2012-05-30,ORCL,35620675923,42744811108,28496540738,2.17,2.6,1.74,15453410072,9042299688,7906620050,14,14
2013-05-30,ORCL,35396489009,42475786811,28317191207,2.35,2.83,1.87,16331519485,9993397075,7762812990,17,17
2014-05-30,ORCL,36996250902,44395501083,29597000721,2.72,3.26,2.18,17326473855,10898355438,8598336240,7,7
2015-05-30,ORCL,38493468571,39699882735,36256395517,2.86453,2.98124,2.64811,18056142386,11116878437,8723750214,3,2
2016-05-30,ORCL,36931947222,38089422137,34785623001,2.62092,2.7277,2.42291,16086811002,9309018962,8880897137,5,6
2017-05-30,ORCL,37415827778,38588467872,35241382522,2.64168,2.74931,2.4421,15439741051,8846112251,9358154095,3,2
2018-05-30,ORCL,39797428571,41044709820,37484575031,3.0844,3.21007,2.85137,15172358510,9066071666,8818750658,3,2
2019-05-30,ORCL,39318346148,40550612594,37033334796,3.44426,3.58459,3.18404,16516595715,4289081686,9132514074,3,4
2020-05-30,ORCL,38943410443,40163926123,36680188724,3.80939,3.9646,3.52159,16599112171,10494418553,9381870144,11,9
2021-05-30,ORCL,40272959615,41535144363,37932470278,4.45937,4.64106,4.12246,16716506723,9924766748,8489398123,11,9
2022-05-30,ORCL,42215406390,43538468876,39762030490,4.74609,4.93946,4.38752,12999767010,9383451009,8277250063,10,10
2023-05-30,ORCL,49856155960,50409077980,49303233940,5.0357,5.24087,4.65525,13397141598,9375000000,9313547981,11,12
2024-05-31,ORCL,53248944009,53369009271,53168900500,5.58769,5.60772,5.57768,20971697899,16028678205,10797960721,20,21
2025-05-31,ORCL,57093331212,57439951609,56568448895,5.97606,7.23468,5.76469,22485781014,18628097216,11577535655,22,25
2026-05-31,ORCL,67233869806,67333905321,67023795223,7.4786,7.57898,7.02687,26479556212,20930183057,13633860705,30,22
2027-05-31,ORCL,88607342335,89832741829,85479086713,7.9837,8.32514,7.33094,34897338335,22435162647.5,17968029600,29,24
2028-05-31,ORCL,129802108192,130189924597,129414291786,10.77998,14.00073,7.34066,51121588424,26718427370,26321612417,34,15
2029-05-31,ORCL,183235881064,185681499031,176118999126,15.66787,15.93972,14.87677,72166079787,44904115435,37157053220,17,6
2030-05-31,ORCL,223556333333,226540101481,214873404960,20.532,20.88825,19.4953,88045988015,58844712020,45333340431,17,10
