date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,PFE,17178000000,20613600000,13742400000,0.57,0.68,0.46,4423000000,2844000000,4824000000,8,8
1998-12-30,PFE,20457411764,24548894117,16365929411,0.68,0.82,0.54,5776522806,4288947986,5674498450,9,9
2002-12-30,PFE,29860802707,35832963249,23888642165,1.55,1.86,1.24,12950428856,9397077793,10419355718,15,15
2003-12-30,PFE,43057278152,51668733782,34445822521,1.61,1.94,1.28,9206073345,3752810652,14512697798,9,9
2004-12-30,PFE,52299884819,62759861782,41839907854,2.1,2.52,1.68,19016067463,11300305102,16830395848,9,9
2008-12-30,PFE,47520763690,57024916428,38016610951,2.35,2.83,1.87,14827585418,8160517502,13969350830,17,17
2009-12-30,PFE,48427864522,58113437427,38742291617,1.86,2.23,1.49,14738880089,8143889228,14250145877,20,20
2010-12-30,PFE,59250317690,71100381228,47400254152,1.81,2.17,1.45,16538861475,7399686291,17469754379,17,17
2011-12-30,PFE,62141400752,74569680902,49713120601,2.1,2.53,1.67,23342369685,9434750630,17956030986,18,18
2013-12-30,PFE,50177760010,60213312012,40142208007,2.12,2.55,1.69,33420598950,21509581667,14282256292,12,12
2014-12-30,PFE,48309779759,57971735711,38647823807,2.14,2.57,1.71,18623484588,8878123648,13720277859,9,9
2015-12-30,PFE,48392517647,49174221685,47347252156,2.18889,2.23486,2.12743,13955467654,6288509188,13746708835,6,5
2016-12-30,PFE,52919373684,53774201870,51776329309,2.41672,2.46747,2.34886,14210106744,6646335776,14310270028,6,7
2017-12-30,PFE,52524242105,53372687570,51389732466,2.59648,2.651,2.52357,16275146771,14799936002,10816336461,8,7
2018-12-30,PFE,53529925000,54394615670,52373692879,2.9973,3.06024,2.91314,16586767388,17084610002,11023437109,4,3
2019-12-30,PFE,51679935824,52514742866,50563662976,2.96916,3.03151,2.88579,21358364627,13797621278,13135956874,4,7
2020-12-30,PFE,48202088994,48980716960,47160936711,2.83075,2.89019,2.75126,14903104335,8709316211,10785670565,5,10
2021-12-30,PFE,81764526021,83085301696,79998434039,4.20822,4.29659,4.09005,25335532858,23986854004,16837798864,5,5
2022-12-30,PFE,100342363631,101963234680,98174995305,6.50281,6.63937,6.32021,25245546488,18436909764,9996458899,4,7
2023-12-31,PFE,55166000000,56715034860,53704490676,-0.45861,-0.44282,-0.47535,16267116110,-2593000000,10693546851,13,10
2024-12-31,PFE,63083180574,63640733937,62674971861,2.92633,3.10428,2.81758,18601700739,16835847982.5,12228237447,14,15
2025-12-31,PFE,61936461640,62076612030,61606107149,3.11949,3.22912,3.03976,18263561123,17822425843,12005953927,16,14
2026-12-31,PFE,61185976850,62088572804,60323496271,2.95595,3.05548,2.86638,18042261351,16835847982.5,11860477651,19,15
2027-12-31,PFE,58861314509,60732309887,56860249932,2.81967,2.94965,2.63969,17356774780,15890493622,11409857964,19,15
2028-12-31,PFE,54761371853,54905928736,54616814969,2.44537,2.90406,1.61031,16147801078,10047471870,10615112489,20,8
2029-12-31,PFE,51663874808,53114571670,50295147064,2.17414,2.2535,2.09926,15234424286,12362160042,10014684149,11,6
2030-12-31,PFE,51795371625,53249760855,50423160144,2.21545,2.29632,2.13915,15273199510,12597048702,10040173896,11,6
