date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1998-06-29,PG,35780936011,42937123213,28624748808,1.26,1.52,1,7006176532,3539613612,9827578990,18,18
1999-06-29,PG,36693122596,44031747115,29354498075,1.31,1.58,1.04,7435326121,3868420673,9922212339,19,19
2000-06-29,PG,38046771428,45656125713,30437417142,1.46,1.75,1.17,7957275131,3622523809,11208034920,19,19
2001-06-29,PG,40388025548,48465630657,32310420438,1.59,1.9,1.28,7806608889,3711532366,12528420547,10,10
2002-06-29,PG,38474947222,46169936666,30779957777,1.59,1.91,1.27,6636099653,2938030835,12295312817,13,13
2003-06-29,PG,40552342036,48662810443,32441873628,1.86,2.23,1.49,8769441348,4830445759,12649420614,17,17
2004-06-29,PG,46785421875,56142506250,37428337500,2.17,2.62,1.72,10045000000,5778593750,14751078125,14,14
2005-06-29,PG,52813305553,63375966664,42250644441,2.4,2.88,1.92,11495680553,6772023147,17004263888,7,7
2006-06-29,PG,59970302472,71964362967,47976241977,2.54,3.05,2.03,12950116187,7570995353,18982771000,16,16
2007-06-29,PG,72233412580,86680095096,57786730064,2.71,3.25,2.17,16456029041,9492288376,23070090584,11,11
2008-06-29,PG,77655065173,93186078207,62124052138,3.21,3.85,2.57,18373849897,10957138505,24740357304,17,17
2009-06-29,PG,77539057819,93046869383,62031246255,3.95,4.75,3.15,20053534070,13332393548,24104045757,11,11
2010-06-29,PG,73980203260,88776243912,59184162607,3.81,4.57,3.05,20521323926,12424574221,22846392187,13,13
2011-06-29,PG,78223605994,93868327191,62578884795,3.61,4.33,2.89,18354109793,11059818622,24931698471,8,8
2012-06-29,PG,82942944723,99531533668,66354355778,3.87,4.65,3.09,17220949537,10034102747,26256575907,20,20
2013-06-29,PG,77916836507,93500203808,62333469205,3.5,4.19,2.81,18891161870,11956126002,24680900937,10,10
2014-06-29,PG,79658686787,95590424144,63726949429,3.92,4.71,3.13,17609508062,10738544534,26103803598,7,7
2015-06-29,PG,76444785714,77065567656,75249502195,3.96954,4.01145,3.88885,16287235180,9506080365,24854221658,3,2
2016-06-29,PG,65033773684,65561890703,64016911682,3.62869,3.667,3.55493,14561587969,8175156389,19743339633,2,3
2017-06-29,PG,65002072222,65529931804,63985705901,3.8473,3.88792,3.7691,21151947556,14736975039,18169498778,4,3
2018-06-29,PG,66860700000,67403652862,65815272349,4.18204,4.22619,4.09703,16468643871,9696711881,17875986697,3,2
2019-06-29,PG,67437678218,67985316523,66383228990,4.4717,4.51891,4.38081,16122587336,10466078007,18125202161,4,5
2020-06-29,PG,70200728694,70770804786,69103076667,4.97443,5.02694,4.87332,9729220958,4471277553,18424697437,8,8
2021-06-29,PG,75332041221,75943786946,74154156471,5.60342,5.66257,5.48952,18334240579,12364586368,18200985675,8,13
2022-06-29,PG,80081905874,80732223625,78829752685,5.82238,5.88385,5.70403,20337262555,14105851633,20416981074,7,9
2023-06-29,PG,81552312836,82408656418,80695969254,5.86052,5.92239,5.7414,24169808312,14954000000,21007395661,8,15
2024-06-30,PG,84271267733,84551404916,84151208940,6.55025,6.58025,6.54025,24892624335,16101477606,22450572071,16,18
2025-06-30,PG,84214200221,84796826606,83562448671,6.78061,6.89836,6.4666,24875767343,16473000000,22435368808,14,17
2026-06-30,PG,86676051707,87665664106,86336184822,6.96228,7.01222,6.89236,25602965899,17063700582.5,23091226678,17,13
2027-06-30,PG,89081870672,90713920230,88591254547,7.33333,7.42374,7.2831,26313613185,18048234055,23732157016,17,13
2028-06-30,PG,92123967119,92140043093,92107891144,7.78726,8.25479,7.38748,27212208472,18244700700,24542597008,14,6
2029-06-30,PG,96212004465,97359960874,95614094505,8.11658,8.24248,8.05101,28419760947,19921333960,25631684422,10,3
2030-06-30,PG,99838224303,101029447062,99217779183,8.61098,8.74454,8.54141,29490898603,21134789320,26597739781,7,2
