date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,UNP,10524638094,12629565713,8419710474,0.48,0.59,0.37,2227314736,319977297,5043978108,10,10
1998-12-30,UNP,9124000000,10948800000,7299200000,-0.075,-0.03,-0.12,-717333332,-954033334,4053983332,7,7
1999-12-30,UNP,9754602596,11705523115,7803682077,0.61,0.74,0.48,2010501010,695762626,3576569697,7,7
2000-12-30,UNP,11922987176,14307584610,9538389741,0.93,1.11,0.75,2468712481,852014429,4411826118,13,13
2001-12-30,UNP,11355948715,13627138458,9084758972,0.85,1.02,0.68,2558255868,910379782,4205301087,8,8
2002-12-30,UNP,11319751343,13583701611,9055801074,1.13,1.35,0.91,3260428570,1366743385,4596777778,7,7
2003-12-30,UNP,11449808379,13739770054,9159846703,0.97,1.17,0.77,3205586665,1565346665,4530600000,13,13
2004-12-30,UNP,12089893559,14507872271,9671914847,0.7,0.84,0.56,1949058333,599113094,4192435715,19,19
2005-12-30,UNP,12589827381,15107792857,10071861904,0.72,0.85,0.59,2384461143,937647047,4113098581,20,20
2006-12-30,UNP,14262698185,17115237822,11410158547,1.23,1.48,0.98,3402071272,1450190328,4306741467,10,10
2007-12-30,UNP,15083589169,18100307003,12066871335,1.47,1.77,1.17,3970653408,1701639772,4202050568,11,11
2008-12-30,UNP,16683564773,20020277727,13346851818,1.97,2.36,1.58,5014505434,2161150907,4428636136,14,14
2009-12-30,UNP,13562706928,16275248314,10850165542,1.66,1.99,1.33,4822913573,1821242810,4086363760,7,7
2010-12-30,UNP,15660898727,18793078473,12528718981,2.35,2.82,1.88,5965009077,2544573214,3944917565,11,11
2011-12-30,UNP,18872006613,22646407935,15097605290,3.12,3.74,2.5,7157098125,3156589297,4512243069,12,12
2012-12-30,UNP,19979506059,23975407271,15983604847,3.79,4.55,3.03,8205019235,3758488629,3338740289,13,13
2013-12-30,UNP,21581969224,25898363069,17265575379,4.55,5.45,3.65,9187155280,4311570249,1063525423,19,19
2014-12-30,UNP,23565420857,28278505029,18852336685,5.54,6.65,4.43,10595136589,5076218629,1161266793,19,19
2015-12-30,UNP,22032752000,22312220935,21770482506,5.58485,5.67694,5.49843,10416344689,4826946467,1085739287,9,8
2016-12-30,UNP,19891273077,20143578958,19654494933,5.00536,5.0879,4.9279,9354869076,4168097359,980210582,8,9
2017-12-30,UNP,21225400000,21494628281,20972740917,5.80376,5.89946,5.71395,10170988246,10622390025,1045954254,14,13
2018-12-30,UNP,22813521739,23102894153,22541958259,7.87915,8.00907,7.75722,10581199684,5843810773,1124214389,9,8
2019-12-30,UNP,21705195023,21980509144,21446824643,8.3709,8.50893,8.24136,10976594273,5898711114,1069597796,14,9
2020-12-30,UNP,19490749358,19737974896,19258738896,8.06411,8.19708,7.93932,9784309772,5064496445,960473404,15,10
2021-12-30,UNP,21657985915,21932701224,21400177494,9.8841,10.04708,9.73115,11552548431,6355662801,1067271406,15,8
2022-12-30,UNP,24963975157,25280624460,24666813498,11.40561,11.59368,11.22911,12739789855,7096797815,1230185344,14,13
2023-12-31,UNP,24138000000,24757790172,23758861412,10.66251,11.01842,10.44479,12500103727,6494000000,1455273559,13,14
2024-12-31,UNP,24277129964,24337122871,24237134692,10.96033,11.00033,10.94033,12572153564,6510890865.5,1463661667,14,16
2025-12-31,UNP,24537943017,24618034222,24327703603,11.6895,11.89913,11.59966,12707218202,6973265943.5,1479386017,16,11
2026-12-31,UNP,25366450088,25566896157,25155981715,12.47907,12.66936,12.26875,13136268841,7356665200,1529336486,17,13
2027-12-31,UNP,26616037823,26877373541,26334599356,13.58875,14.04509,13.08171,13783380296,8025928890,1604673796,17,14
2028-12-31,UNP,30033023065,31094448202,28971597927,15.00033,15.54667,14.36159,15552900138,8683320000,1810682922,7,5
2029-12-31,UNP,35309239433,36215872939,34754632788,17.5419,18.12745,17.18371,18285241338,10411117667,2128784595,3,1
2030-12-31,UNP,40979000000,42031215654,40335337716,19.595,20.24908,19.19488,21221383322,11629632519,2470612942,6,1
