date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
2000-12-30,UPS,28879631223,34655557468,23103704978,2.25,2.7,1.8,5815986315,2840036530,16032073370,9,9
2001-12-30,UPS,28406715686,34088058823,22725372549,1.87,2.25,1.49,4948556327,2236522028,16218549661,10,10
2002-12-30,UPS,30983658347,37180390017,24786926677,2.1,2.52,1.68,6306510699,3127999501,17751834141,7,7
2003-12-30,UPS,32663582157,39196298588,26130865725,2.33,2.8,1.86,5770029927,2825522849,18840548224,15,15
2004-12-30,UPS,36048966080,43258759296,28839172863,2.77,3.32,2.22,6359172535,3284991417,20570440594,19,19
2005-12-30,UPS,41840189247,50208227096,33472151397,3.35,4.02,2.68,7574001028,3797585890,21110855300,17,17
2006-12-30,UPS,47051644633,56461973560,37641315706,3.78,4.54,3.02,8166091667,4153550454,26575860000,11,11
2007-12-30,UPS,49226083791,59071300549,39380867032,4.1,4.92,3.28,2093117647,339634494,37039116504,9,9
2008-12-30,UPS,50835795557,61002954668,40668636445,3.41,4.08,2.74,7003774223,2932684335,32000279047,7,7
2009-12-30,UPS,45365012493,54438014991,36292009994,2.31,2.78,1.84,5538273684,2138740049,30941448246,19,19
2010-12-30,UPS,45352330290,54422796348,36281864232,3,3.6,2.4,6985697256,3203438053,28030993034,16,16
2011-12-30,UPS,52204888312,62645865975,41763910649,4.13,4.96,3.3,7770708060,3739699106,27085056785,11,11
2012-12-30,UPS,55284194703,66341033644,44227355762,4.73,5.68,3.78,3203429361,769096530,24206724484,7,7
2013-12-30,UPS,54933920424,65920704509,43947136339,4.5,5.41,3.59,8840137235,4331658888,5143646633,8,8
2014-12-30,UPS,59676659525,71611991430,47741327620,4.96,5.96,3.96,7059984676,3092942352,5587725151,14,14
2015-12-30,UPS,58579661905,59597409865,57310288281,5.28718,5.4066,5.13824,9219368097,4568955367,5485009596,9,8
2016-12-30,UPS,61043131818,62103679469,59720376805,5.81565,5.947,5.65182,7648186147,3376162334,5715672521,12,13
2017-12-30,UPS,65185826316,66318348075,63773302483,6.0061,6.14175,5.83691,9606637031,4772854538,6103566857,7,6
2018-12-30,UPS,72045442857,73297141827,70484276713,7.20427,7.36698,7.00133,8775770010,4765035090,6745855688,7,6
2019-12-30,UPS,74195060354,75484106225,72587313748,7.51888,7.6887,7.30707,8650994466,4428784975,6947131561,7,11
2020-12-30,UPS,82562283817,83996699673,80773226284,7.69682,7.87066,7.48,5129365373,1607410755,7730582669,12,10
2021-12-30,UPS,96581916383,98259905725,94489064817,11.63,11.89267,11.30238,14625662874,9185165340,10733835484,16,10
2022-12-30,UPS,101356616417,103117560168,99160300985,12.90169,13.19309,12.53825,16814730684,10349902022,22737552365,7,11
2023-12-31,UPS,89502000000,90889197578,87533550398,6.13427,6.25787,5.95888,14394675867,5254000000,7104153348,15,19
2024-12-31,UPS,91186942616,91817543865,90886656306,7.49506,7.585,7.41511,14665666491,6375046757,7237894390,16,21
2025-12-31,UPS,88190565534,88690625442,87990541570,6.90614,7.07458,6.67825,14183756848,5844952756.5,7000059232,19,16
2026-12-31,UPS,89375002887,90298049616,86696160748,7.03874,7.13802,6.7012,14374250823,5986468790,7094073048,19,18
2027-12-31,UPS,93220806394,94785519735,91666123266,7.97165,8.41733,7.02964,14992774375,6776649590,7399330784,20,18
2028-12-31,UPS,95643750627,95722918133,95564583120,8.55164,9.09234,8.10136,15382458370,6934466670,7591650144,9,4
2029-12-31,UPS,101757500000,103334646406,99519510789,9.9755,10.17649,9.69029,16365737409,8479175009,8076924363,4,2
2030-12-31,UPS,107953000000,109626170881,105578750934,11.83,12.06836,11.49176,17362164465,10055500011,8568687475,4,2
