date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,VZ,46667648424,56001178109,37334118739,2.39,2.86,1.92,8769724362,1873121190,6308110844,9,9
1998-12-30,VZ,50037404348,60044885216,40029923478,2.7,3.24,2.16,10697004412,2965419119,9761641176,20,20
1999-12-30,VZ,39697258607,47636710328,31757806885,3.03,3.63,2.43,12918945936,4233203835,8295990502,10,10
2000-12-30,VZ,67139273973,80567128767,53711419178,3.33,3.99,2.67,30890678571,11425404762,2068000000,10,10
2001-12-30,VZ,66972009263,80366411116,53577607410,2.99,3.59,2.39,16182181270,406221223,15517848464,9,9
2002-12-30,VZ,67452000000,80942400000,53961600000,3.05,3.65,2.45,19120000000,4079000000,15629065428,10,10
2003-12-30,VZ,64457466641,77348959969,51565973312,2.38,2.86,1.9,18239345002,4202227824,23865105273,20,20
2004-12-30,VZ,69893032692,83871639230,55914426153,2.41,2.9,1.92,24114893749,7683137500,20729545833,17,17
2005-12-30,VZ,69881070706,83857284847,55904856565,2.48,2.97,1.99,24265809375,7283759375,20966159375,8,8
2006-12-30,VZ,83701260233,100441512279,66961008186,2.42,2.91,1.93,22909753840,6042210782,24787523580,18,18
2007-12-30,VZ,92673444444,111208133332,74138755555,2.33,2.79,1.87,22712493304,4517292453,25744917528,8,8
2008-12-30,VZ,97037896990,116445476388,77630317591,2.53,3.04,2.02,24214937220,6390011662,26811493299,15,15
2009-12-30,VZ,105238900792,126286680950,84191120633,2.28,2.74,1.82,23772767905,3495623017,32172963640,7,7
2010-12-30,VZ,105184732256,126221678707,84147785804,2.18,2.61,1.75,23686381432,2549932708,30935284101,13,13
2011-12-30,VZ,109428008599,131313610317,87542406879,2.1,2.53,1.67,21516654990,2253468370,35320939210,19,19
2012-12-30,VZ,118705655366,142446786439,94964524293,2.4,2.88,1.92,18890455172,423031034,41419041379,12,12
2013-12-30,VZ,117626295367,141151554440,94101036293,2.7,3.24,2.16,35638202299,11238213706,26360548848,11,11
2014-12-30,VZ,126200787437,151440944924,100960629949,3.36,4.04,2.68,33925536110,9406775957,40875122317,14,14
2015-12-30,VZ,131525730768,135260276015,129051563412,3.96988,4.11642,3.8728,47079210747,17302015213,28935747998,9,8
2016-12-30,VZ,125683080000,129251728859,123318820384,3.8936,4.03732,3.79838,40859098426,13190124670,31391486721,12,13
2017-12-30,VZ,125214769231,128770120861,122859319140,3.76164,3.90049,3.66965,42132047348,30561232954,28624571969,7,6
2018-12-30,VZ,131014875000,134734914994,128550317495,4.67141,4.84384,4.55717,39548720180,14844429194,29806101095,7,6
2019-12-30,VZ,131665079326,135403581240,129188290646,4.82611,5.00425,4.70809,43026612839,19040180243,29638419540,10,11
2020-12-30,VZ,128177903034,131817389967,125766712603,4.76882,4.94485,4.6522,43081217349,17278134962,30634020140,7,6
2021-12-30,VZ,133562998895,137355390390,131050507918,5.37915,5.57771,5.2476,46962469572,21327705819,27735425185,7,6
2022-12-30,VZ,136751759423,140634692673,134179283779,5.1795,5.37069,5.05284,49399119630,22360426013,29666086308,8,9
2023-12-31,VZ,134243000000,137140860258,131424175642,2.66951,2.74442,2.59664,46256120556,11252000000,31291548584,11,14
2024-12-31,VZ,134453499512,135103226481,134173617125,4.58164,4.62157,4.54171,46328652389,19384918844,31340615244,15,16
2025-12-31,VZ,137868693083,138008803543,137708566842,4.68329,4.72332,4.65327,47505425893,19836176149,32136684280,17,15
2026-12-31,VZ,144246218620,147367341518,140531075556,4.90277,5.09249,4.72304,49702930345,20262805700,33623261980,18,16
2027-12-31,VZ,145898611140,149323508182,141892883605,5.23313,5.48185,5.0043,50272295359,22183450330,34008428587,17,15
2028-12-31,VZ,147249273984,147384418067,147114129901,5.74279,6.17936,5.20905,50737693356,24092181360.5,34323263118,14,8
2029-12-31,VZ,148803600000,152015775225,145679033265,6.256,6.43156,6.08523,51273267588,26469136006,34685570785,9,6
2030-12-31,VZ,150958276352,154216963879,147788465886,6.92273,7.117,6.73376,52015704580,29290070636,35187817902,13,6
