date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
2015-12-30,WB,478290000,486495170,470564736,0.21957,0.22447,0.21496,139735691,58238966,153062071,5,4
2016-12-30,WB,651471857,662648000,640949388,0.73447,0.75085,0.71905,84666242,81506265,147201970,4,5
2017-12-30,WB,1134218000,1153675759,1115898293,1.68479,1.72236,1.64941,368739338,310296222,277887772,5,4
2018-12-30,WB,1718575238,1748057774,1690817087,2.61608,2.67442,2.56115,502093498,693891677,549977390,5,4
2019-12-30,WB,1771872674,1802269539,1743253671,2.70535,2.76568,2.64854,562170868,455836954,510611641,4,5
2020-12-30,WB,1672847969,1701546044,1645828397,2.18645,2.23521,2.14054,488733964,579936186,535343778,6,4
2021-12-30,WB,2252631128,2291275510,2216246992,3.06694,3.13534,3.00254,534198559,402942516,684846112,7,4
2022-12-30,WB,1842037984,1885268976,1798806992,2.08525,2.13175,2.04147,587618414,306658000,753330721,7,5
2023-12-31,WB,1739188000,1779278343,1678283184,1.36191,1.40272,1.29991,658652670,362909157,550104566,9,4
2024-12-31,WB,1752117727,1792506116,1690760123,1.80196,1.83166,1.76236,663549323,482605007,554194234,11,10
2025-12-31,WB,1731977242,1771901369,1721965812,1.73002,1.75002,1.71002,655921864,464614172,547823806,12,10
2026-12-31,WB,1877539357,1898635304,1866991383,1.622,1.71101,1.5231,711048093,434276292,593865053,11,9
2027-12-31,WB,1921197422,1953396261,1899731529,1.69797,1.79059,1.60535,727581959,456006824.5,607674084,11,8
2028-12-31,WB,1955188065,1955190667,1955185462,1.76976,1.90494,1.60213,740454649,470929361,618425312,9,5
2029-12-31,WB,2136275745,2185519431,2061465269,0,0,0,809034862,0,675703283,4,1
