date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,WFC,6995600000,8394720000,5596480000,0.88,1.05,0.71,5566900000,1351000000,2302500000,15,15
1998-12-30,WFC,21061900000,25274280000,16849520000,0.97,1.17,0.77,9563000000,1950000000,4416000000,20,20
1999-12-30,WFC,16630446029,19956535235,13304356823,1.1,1.32,0.88,12723662221,3707304264,4346352081,15,15
2000-12-30,WFC,19839943548,23807932258,15871954838,1.22,1.46,0.98,15805962634,3930473454,5352239919,19,19
2001-12-30,WFC,30659797058,36791756470,24527837646,1.03,1.24,0.82,22487570320,3087611675,10722326114,15,15
2002-12-30,WFC,24918100000,29901720000,19934480000,1.64,1.97,1.31,15962205128,5404717948,7326820513,20,20
2003-12-30,WFC,28904000000,34684800000,23123200000,1.83,2.2,1.46,17192000000,6202000000,7999000000,15,15
2004-12-30,WFC,30384806675,36461768010,24307845339,2.09,2.51,1.67,18193094398,7071380911,9002977887,19,19
2005-12-30,WFC,33095413793,39714496551,26476331034,2.27,2.73,1.81,23278551724,7704275862,10501620689,16,16
2008-12-30,WFC,33487713507,40185256209,26790170805,2.645,3.18,2.11,6364473971,-5952532434,27540157011,19,19
2009-12-30,WFC,51058173422,61269808106,40846538737,0.625,0.79,0.46,13672853000,31451778725,19533513755,14,14
2010-12-30,WFC,79317760605,95181312726,63454208484,1.91,2.29,1.53,26465943992,11429984306,35007230518,17,17
2011-12-30,WFC,80052475782,96062970939,64041980624,2.76,3.31,2.21,31814426637,15694434084,37334229688,9,9
2012-12-30,WFC,84292665578,101151198693,67434132462,3.23,3.87,2.59,35211378664,18495234548,29517929218,11,11
2013-12-30,WFC,80937984396,97125581275,64750387516,3.63,4.36,2.9,38466969764,21116734008,29998292693,8,8
2014-12-30,WFC,82565345937,99078415125,66052276748,3.92,4.7,3.14,39003707563,22514454629,30152112177,19,19
2015-12-30,WFC,86599248000,87564434721,85401573915,4.14335,4.20338,4.06886,39825217486,22483996197,31071577430,9,8
2016-12-30,WFC,89694600000,90694285781,88454116965,4.02704,4.08539,3.95464,42874552290,21924579066,33047727875,8,9
2017-12-30,WFC,88974472000,89966131637,87743948389,4.13375,4.19364,4.05943,43570807339,23070791317,36186764968,14,13
2018-12-30,WFC,86728200000,87694823948,85528742499,4.3047,4.36707,4.22731,49268578619,22799301281,34818412402,9,8
2019-12-30,WFC,84271864262,85211111267,83106378069,4.54887,4.61478,4.46709,52231334290,19983349162,42779880691,4,7
2020-12-30,WFC,72612245262,73421540683,71608012472,0.37093,0.3763,0.36426,21079172726,3028090908,45424709089,6,6
2021-12-30,WFC,75926675025,76772911224,74876603424,4.63074,4.69784,4.54748,28143047374,15810002144,26248462921,7,6
2022-12-30,WFC,74227281299,75054577007,73200712440,3.07002,3.1145,3.01482,32199492111,17825992358,31638469213,7,7
2023-12-31,WFC,78234000000,79622309234,76587737176,4.92085,5.03437,4.78624,22626723352,15798415311.5,28325212042,5,12
2024-12-31,WFC,82617051564,83027036932,82217065838,5.33341,5.40398,5.26284,23894383131,17159713339,29912129047,9,14
2025-12-31,WFC,84028363344,84188360227,83878366265,6.31563,6.37597,6.24523,24302560666,20285000000,30423105162,8,17
2026-12-31,WFC,88364993269,89518452318,87051052960,7.03877,7.25268,6.09144,25556794446,21499610540,31993214861,9,19
2027-12-31,WFC,92391669006,94277416893,90386191093,8.0001,8.52051,6.88784,26721383729,23180203480,33451103300,8,18
2028-12-31,WFC,97266191974,97300811796,97231572151,9.26359,10.1055,7.14092,28131186151,24279142750,35215961247,3,8
