symbol,sector,country,industry_type
MSFT,,US,C
GE,,US,C
XOM,,US,C
WMT,,US,C
PFE,,US,C
C,,US,C
INTC,,US,C
IBM,,US,C
AIG,,US,C
JNJ,,US,C
MRK,,US,C
KO,,US,C
PG,,US,C
BAC,,US,C
JPM,,US,C
CVX,,US,C
WFC,,US,C
HD,,US,C
ABT,,US,C
LLY,,US,C
CSCO,,US,C
MO,,US,C
PEP,,US,C
VZ,,US,C
MMM,,US,C
ORCL,,US,C
BMY,,US,C
MDT,,US,C
AMGN,,US,C
T,,US,C
TXN,,US,C
BA,,US,C
MCD,,US,C
DD,,US,C
EMR,,US,C
UPS,,US,C
HON,,US,C
CL,,US,C
CAT,,US,C
LOW,,US,C
AXP,,US,C
FNM,,US,C
FRE,,US,C
USB,,US,C
SLB,,US,C
UNP,,US,C
GD,,US,C
BK,,US,C
WAG,,US,C
WB,,US,C
